Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,Cone_Type(L=1;M=2;S=3)
92,22,32.01475365,6.828408493,12.17240341,57.76421602,6.837501817,8.373993449,1
92,98,30.1967663,10.84223839,17.35966502,55.3260815,6.752026057,8.842156735,2
93,14,30.3104962,11.20650885,9.555714742,56.9776471,13.35104781,10.01236464,NaN
93,132,30.84380836,6.780832421,17.43121827,55.66012515,7.517049165,8.458744373,2
93,150,30.62236747,7.922401619,9.49548106,55.33711956,6.67020411,8.454278077,2
93,191,30.95235753,8.132215108,9.973871791,55.14658969,8.50944395,9.488072267,2
94,46,30.88499003,6.838076283,9.892455544,59.70194039,8.010881171,10.58566879,2
94,107,30.21855101,7.130957946,11.200716,54.1265529,6.169427656,8.622388901,1
94,160,30.91708168,6.807395638,8.778671493,54.44694514,6.494572266,7.951351643,1
94,179,32.83069116,5.542937447,7.709931384,57.69777165,6.31233382,11.83834211,2
95,63,29.32860369,6.128629379,13.51364926,56.60932563,7.890817917,13.82484724,1
95,75,31.47780872,7.104471494,14.94156069,56.79534876,7.276062326,9.382367456,1
95,202,30.34054971,7.268608493,7.715398488,49.94839879,9.975710523,7.830189851,1
95,228,31.55425786,10.64677652,11.76513633,60.25750832,12.76689029,9.883336943,1
96,29,31.73250655,9.2133151,10.32839704,57.90256306,10.92286174,11.80728929,2
96,139,30.88757812,5.476218685,11.45509224,56.47390518,6.570547896,8.816911819,1
97,39,29.8176111,14.53499475,11.21138009,57.71128992,17.11209833,11.61782492,2
97,55,31.10013856,9.221944813,8.987445275,57.8515324,9.538106572,8.415703521,1
97,123,30.27835493,6.419206219,9.265223546,56.22112894,6.345953925,9.066616289,1
98,14,30.47156174,9.764407761,12.45734676,57.53726242,7.966644561,9.719725544,NaN
99,80,30.2982032,9.334390465,12.75057627,55.30486494,7.704898648,10.55355435,1
99,112,29.82117762,7.017993718,8.193209345,55.94845616,9.485258299,11.0559893,2
99,150,30.66948913,19.99113766,11.86943938,54.76178147,8.139727303,8.666200285,2
100,26,30.76653312,15.71152826,12.22561989,57.99120965,11.01618744,9.918858118,1
100,91,32.38980654,5.752790568,9.781788155,55.65796752,7.592463649,8.505535498,2
100,100,32.00052933,7.293301511,8.876575462,56.15238172,8.686829832,8.055124815,3
100,161,35.65850715,6.184248383,11.24734436,54.64637705,5.913758332,7.762080312,3
100,173,30.87992235,6.368315775,8.201239642,56.17316287,8.281771144,12.80380372,2
100,208,31.17176445,6.531537155,13.76946794,58.39624712,7.398740652,14.85955793,1
101,10,34.19132105,9.764595453,17.84205766,59.62150051,11.51419398,17.11179225,3
101,59,31.31406373,15.34687943,15.01824706,57.40678282,10.06783023,12.17842019,2
101,128,29.21228672,9.873291164,11.48317615,56.85725448,6.297575288,8.78982744,1
101,182,32.05356367,6.508860542,9.380981122,56.57964561,6.834130909,8.947975449,1
102,136,30.05217749,11.14394218,10.23426345,54.45062371,9.968339618,14.2903381,2
102,258,30.19178885,14.0508979,12.18186265,54.08405735,9.30842441,8.047146903,1
103,18,30.96200974,9.361901314,11.06379785,55.70359926,10.39695894,12.78626626,1
103,118,29.56193085,5.562131257,9.191862132,53.69281602,5.835029046,7.675170353,1
104,32,32.28223085,7.347463286,10.04356057,58.71764947,7.306352348,15.32697041,2
105,82,30.80939184,8.187915521,10.22346014,56.15318734,7.719301007,10.39125945,2
105,89,31.910735,6.301955857,9.930275325,55.15688178,7.749158908,13.0506397,2
105,100,30.59322276,5.51940206,10.4922089,56.60553513,6.293161977,9.70639968,1
105,188,30.08272339,6.488229077,12.25905043,55.27686094,5.676383701,10.04705589,1
106,158,30.00493609,5.904558126,8.697288339,56.6140797,5.938902185,7.397171401,2
106,165,30.49896409,6.931943324,16.61081351,58.08136941,7.001120997,9.163805633,1
106,224,31.3984062,9.885672113,11.0475984,49.64640516,12.5350612,10.0781096,2
107,61,32.27899141,9.957483623,15.31378761,57.81919702,11.20409325,12.90982903,2
107,126,30.77319666,6.057581065,8.007234292,57.51272146,5.736410077,8.313424588,1
107,176,32.24769013,5.662275429,7.792669877,57.89285214,7.791712502,9.030037653,1
107,204,31.57053059,7.7382259,9.932172899,56.10532168,7.563280658,8.525787811,1
107,234,31.82367916,7.717746908,12.55747275,58.20140071,7.493895843,8.562036135,1
107,252,30.66724258,14.59309354,10.72383633,57.24025244,10.75738626,10.07398701,1
108,139,31.45522194,5.610884394,10.79232915,57.34457705,6.490853436,10.15529081,1
109,105,30.3732559,7.841341238,8.848434173,58.46807216,10.69089952,10.60639202,1
109,116,NaN,NaN,NaN,NaN,NaN,NaN,2
109,151,32.11727391,7.052822012,10.13778776,57.33753624,6.885456569,8.122388333,2
109,195,31.08716771,6.557310148,9.557860345,56.73512504,18.15512407,16.8426344,1
109,212,32.594962,9.269388036,10.3681849,56.73082931,9.638278735,8.338963611,1
110,183,31.80545723,11.84980993,10.67632373,53.42694814,7.016534094,8.3456077,1
111,78,32.33706628,6.507438972,9.257316346,58.60881054,7.156476529,8.964204759,3
111,169,31.33007339,10.49009165,10.78465755,57.4790005,18.23605583,10.57915544,1
111,241,31.71212033,12.05178124,13.02688357,58.79634997,8.821586984,9.227325799,1
112,92,31.45619958,11.80514157,15.98729318,57.0620778,8.683546677,12.01361324,2
112,226,30.75726338,15.07103879,11.70594005,55.76849713,10.06374235,8.88833811,2
113,18,31.92468268,10.89048792,7.931943971,59.99711736,16.13058056,9.551997937,1
113,39,34.42492699,6.900111772,9.148683299,55.64002018,7.649485792,10.05176834,3
113,66,30.49218006,7.625653234,10.8843305,57.82032729,14.32803764,13.34795697,1
113,121,31.05702902,6.219068991,10.10432835,NaN,NaN,NaN,1
113,159,30.96108603,5.347017521,8.318030091,57.78242008,8.108530635,11.74493383,1
113,251,31.26249667,8.394042785,8.149923864,56.98076432,13.49004032,8.112265852,1
114,48,32.54268849,6.698368826,8.182104176,58.69634633,7.059836499,9.303078347,1
114,145,31.0519722,6.213285169,9.821390927,56.95262236,6.388730362,8.541128795,1
115,108,30.89735937,6.87032271,16.8382045,54.05667785,7.920712798,11.10139291,1
115,152,30.99456269,6.500354138,8.692100437,56.16509734,6.749705673,7.839737729,1
