Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
68,103,30.64933222,12.86822052,11.1357952,56.99048625,10.06929003,10.12473969,1
69,18,31.54195853,9.185475805,16.63472902,60.57188855,9.449427596,10.93465503,1
69,47,30.50275807,7.140433239,8.77948958,59.60573312,7.533438925,8.665928629,1
69,122,30.45490176,12.0286645,9.760610838,58.93305329,9.650883462,10.18691667,1
69,270,30.73786607,6.935508793,13.30900382,58.78360391,9.260745281,8.773720979,1
70,155,32.42010033,7.766900029,8.08896198,58.50574618,9.699643291,9.46836644,1
70,189,32.27614146,8.292194853,8.414633149,58.05686812,11.61934869,13.72878593,1
71,4,30.88150236,11.76083862,9.496035912,60.24655194,12.410314,9.137903082,1
71,169,31.17669296,11.14118281,9.578808943,57.88489549,11.32915099,9.857888783,1
71,226,33.09744491,7.141236891,8.952068317,60.89823838,8.703678311,8.915795711,1
72,39,31.50528691,13.90486596,14.38165213,59.42322753,9.130264162,10.69233615,1
72,84,31.58966089,10.19183617,18.4637916,61.22325403,10.0099764,12.35157094,1
73,147,30.5736969,10.48768025,10.21543417,56.96408571,15.66753563,8.805164825,1
73,247,33.56811371,9.703264895,7.354255822,58.07191199,11.16275951,9.465095025,1
73,257,32.00183324,8.346283058,9.486382746,59.18723955,7.261723825,9.972171838,1
74,77,30.75235769,8.949928685,10.56303073,57.81640187,16.11263459,9.586991045,1
74,120,32.53829678,8.734299841,8.307664315,56.56305493,12.0054593,10.98083574,1
74,212,31.76091251,10.13956267,14.458675,61.1520702,9.240079607,10.85325906,1
74,281,33.00373753,7.689928076,7.646533014,61.28212352,8.147862637,7.825096093,1
75,23,31.05347907,10.10527167,11.31580082,59.27378317,15.81623144,12.67141245,1
75,62,29.15983198,12.71792865,12.38786052,56.21532027,13.7749307,13.63529897,1
75,197,32.61250885,7.901352806,8.093415465,56.4167214,7.426145004,8.957163668,1
76,14,30.21373317,12.78250516,13.04503161,57.51828528,9.433962445,15.54924573,1
76,89,30.96463449,7.233280104,10.68229575,62.14294934,16.66440062,12.05165098,1
76,185,31.73173062,7.876038241,9.892223254,57.60578352,10.36817031,10.81802905,1
76,237,32.50683392,8.491779078,10.49256021,60.34772212,8.930508129,9.418459289,1
76,267,30.36149147,9.424827371,12.15803129,57.05952666,10.46442039,12.4139352,1
77,32,30.63196986,6.659503987,11.1518454,58.26826091,8.77717961,10.55583914,1
77,157,31.70895413,7.09904137,11.0728936,56.19457254,14.37674813,10.7916218,1
78,55,34.31565173,8.193835951,9.475851395,62.08168414,9.026936342,8.46604703,3
78,131,34.21440212,9.582981444,10.8035595,60.72976147,8.511493412,10.44345671,3
78,220,30.69734696,10.08126932,9.797469339,60.39086592,12.48760932,9.538824741,1
79,70,30.19362855,13.43739004,14.78008985,57.83335839,12.52116201,14.42370651,1
79,108,31.41786055,9.705939446,13.64840215,59.62864903,9.381039861,10.07679195,1
79,166,30.73408387,7.286387118,8.592350553,58.02540197,10.15875072,9.387653958,1
79,230,32.16271206,8.769126359,8.696346938,60.79419725,11.12903832,8.996946732,1
80,48,30.97566271,7.344887553,10.27648098,59.69641248,8.879584947,7.623484605,1
80,202,33.29870021,8.397730782,8.973606104,61.26217764,10.84391148,8.352197377,1
81,87,30.14199078,9.694637576,11.8414687,61.85427854,13.0943887,10.51544568,NaN
81,124,33.21928589,7.479607121,8.250201014,61.35471559,9.560612727,10.67455323,1
